gene_name	exons_length	exons_GC_content	No_of_exons
1/2-SBSRNA4	957	0.442006269592	3
A1BG	1766	0.648357870895	8
A1BG-AS1	2130	0.57323943662	4
A1CF	9711	0.371434455772	16
A2LD1	2903	0.492593868412	4
A2M	4653	0.490866107887	36
A2ML1	5363	0.485176207347	37
A2MP1	1201	0.432972522898	9
A4GALT	2092	0.641969407266	3
A4GNT	1771	0.466403162055	3
AA06	632	0.46835443038	3
AAA1	6188	0.371040723982	9
AAAS	1837	0.572128470332	16
AACS	3321	0.556458897922	18
AACSP1	2173	0.494707777266	7
AADAC	1606	0.382938978829	5
AADACL2	1500	0.383333333333	5
AADACL3	4049	0.488021733761	4
AADACL4	1575	0.489523809524	4
AADAT	2517	0.444974175606	15
AAGAB	2845	0.443936731107	10
AAK1	21265	0.425299788385	22
AAMP	1793	0.579475738985	11
AANAT	2093	0.588150979455	8
AARS	3344	0.534988038278	21
AARS2	4782	0.577164366374	22
AARSD1	3372	0.505931198102	19
AASDH	3561	0.394552092109	15
AASDHPPT	2861	0.37818944425	6
AASS	5871	0.395162663941	24
AATF	2141	0.533395609528	12
AATK	5358	0.671519223591	15
AATK-AS1	1577	0.637920101458	6
ABAT	5930	0.505059021922	18
ABCA1	10502	0.454865739859	50
ABCA10	6331	0.368662138683	40
ABCA11P	1895	0.434828496042	3
ABCA12	9366	0.423553277813	54
ABCA13	17184	0.411080074488	62
ABCA17P	4188	0.523161413563	17
ABCA2	8360	0.637918660287	50
ABCA3	6623	0.604861845085	33
ABCA4	7325	0.52409556314	50
ABCA5	9497	0.348004633042	40
ABCA6	5296	0.384252265861	39
ABCA7	6818	0.646670577882	47
ABCA8	5720	0.409965034965	38
ABCA9	6301	0.408506586256	39
ABCB1	4716	0.432145886344	29
ABCB10	3857	0.45268343272	13
ABCB11	4775	0.449214659686	28
ABCB4	4195	0.454588796186	29
ABCB5	7842	0.395817393522	31
ABCB6	3018	0.59211398277	19
ABCB7	2387	0.43736908253	16
ABCB8	4683	0.603672859278	16
ABCB9	3909	0.604502430289	14
ABCC1	6563	0.549291482554	31
ABCC10	6793	0.594582658619	24
ABCC11	5025	0.512835820896	31
ABCC12	5168	0.495936532508	29
ABCC13	2924	0.401846785226	7
ABCC2	5051	0.465848346862	32
ABCC3	5540	0.569675090253	32
ABCC4	6252	0.419225847729	32
ABCC5	7060	0.494759206799	32
ABCC6	5762	0.581742450538	32
ABCC6P1	2724	0.458883994126	10
ABCC6P2	706	0.50283286119	2
